geneid	pval	up_down 	pathway_ids
HCON_00000020	0.461765774	none	ko04144,map04144
HCON_00000030	0.09352468	none	ko03440,map03440
HCON_00000070	0.379585647	none	ko03013,ko03015,ko03040,map03013,map03015,map03040
HCON_00000140	0.046726761	UP	-
HCON_00000190	0.120949295	none	ko00970,ko03010,map00970,map03010
HCON_00000260	0.004092978	UP	ko04216,ko04217,ko04978,map04216,map04217,map04978
HCON_00000450	0.001239711	UP	-
HCON_00000480	0.002610819	none	ko00230,ko01100,map00230,map01100
HCON_00000490	0.017860848	none	-
HCON_00000500	0.004489104	down	-
HCON_00000510	0.496158001	none	-
HCON_00000570	0.00000719	UP	-
HCON_00000660	0.000102989	UP	ko04020,ko04068,ko04072,ko04080,ko04540,ko04720,ko04723,ko04724,ko04730,ko04742,ko04915,ko05016,ko05030,map04020,map04068,map04072,map04080,map04540,map04720,map04723,map04724,map04730,map04742,map04915,map05016,map05030
HCON_00000710	0.104568467	none	-
HCON_00000720	0.076931676	none	ko00563,ko01100,map00563,map01100
HCON_00000730	0.002591747	down	-
HCON_00000740	0.165356657	none	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130
HCON_00000790	0.004291165	none	ko04979,map04979
HCON_00000800	0.484407031	none	ko03013,ko03015,ko03040,map03013,map03015,map03040
HCON_00000810	0.020097989	none	-
HCON_00000820	0.028921719	UP	ko00563,ko01100,map00563,map01100
HCON_00000920	0.001848531	none	ko00532,ko00534,ko01100,ko03040,ko05168,ko05203,ko05206,map00532,map00534,map01100,map03040,map05168,map05203,map05206
HCON_00000940	0.028201564	none	ko00970,map00970
HCON_00000980	0.069165291	none	ko04310,ko04380,map04310,map04380
HCON_00001000	0.01775778	down	ko04726,ko04911,ko04970,ko04974,ko04976,map04726,map04911,map04970,map04974,map04976
HCON_00001030	0.457963321	none	ko04080,map04080
HCON_00001040	0.016153094	down	-
HCON_00001045	0.005912887	UP	ko03015,map03015
HCON_00001070	0.050897768	none	-
HCON_00001080	0.006939244	UP	-
HCON_00001100	0.113373647	none	ko04710,map04710
HCON_00001120	0.02030745	down	-
HCON_00001130	0.057127805	none	-
HCON_00001160	0.006338761	down	ko04010,ko04260,ko04261,ko04921,ko05410,ko05412,ko05414,map04010,map04260,map04261,map04921,map05410,map05412,map05414
HCON_00001190	0.007365301	down	ko04110,ko04114,ko04115,ko04151,ko04218,ko04391,ko04934,ko05161,ko05162,ko05165,ko05200,ko05203,ko05206,ko05215,ko05222,ko05226,map04110,map04114,map04115,map04151,map04218,map04391,map04934,map05161,map05162,map05165,map05200,map05203,map05206,map05215,map05222,map05226
HCON_00001200	0.465059958	none	-
HCON_00001210	0.018959953	UP	ko03010,map03010
HCON_00001250	0.161296902	none	ko01120,map01120
HCON_00001260	0.147472338	none	ko01120,map01120
HCON_00001270	0.070696207	none	-
HCON_00001310	0.00031139	UP	ko01524,ko04978,map01524,map04978
HCON_00001320	0.484827178	none	-
HCON_00001330	0.007238345	UP	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016
HCON_00001360	0.054251063	none	ko04360,map04360
HCON_00001400	0.318525896	none	-
HCON_00001405	0.108607553	none	-
HCON_00001410	0.029306644	UP	ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016
HCON_00001420	0.019221127	UP	-
HCON_00001440	0.164212844	none	-
HCON_00001450	0.138707773	none	ko04620,map04620
HCON_00001460	0.066914468	none	ko04120,map04120
HCON_00001470	0.331547682	none	ko03022,ko05016,ko05165,ko05166,ko05168,ko05169,ko05203,map03022,map05016,map05165,map05166,map05168,map05169,map05203
HCON_00001480	0.01757352	none	-
HCON_00001500	0.027020143	none	ko04152,map04152
HCON_00001510	0.018933579	UP	-
HCON_00001530	0.025588985	UP	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016
HCON_00001550	0.088910487	none	-
HCON_00001570	0.000135581	UP	ko04145,ko04962,ko05132,map04145,map04962,map05132
HCON_00001630	0.404744599	none	-
HCON_00001650	0.000330648	UP	-
HCON_00001680	0.399115591	none	-
HCON_00001690	0.005361797	down	-
HCON_00001700	0.012967817	UP	-
HCON_00001760	0.000889298	none	ko00480,ko00590,ko04918,map00480,map00590,map04918
HCON_00001790	0.023158043	down	-
HCON_00001830	0.017140145	UP	-
HCON_00001850	0.211741735	none	ko04144,map04144
HCON_00001860	0.000132211	down	-
HCON_00001865	0.062861159	none	-
HCON_00001890	0.029317752	down	-
HCON_00001980	0.446491649	none	ko04721,map04721
HCON_00002000	0.117420174	none	-
HCON_00002020	0.001622463	UP	-
HCON_00002080	0.0000401	UP	ko04141,map04141
HCON_00002100	0.351043456	none	-
HCON_00002110	0.000250901	down	-
HCON_00002160	0.097164866	none	-
HCON_00002165	0.451632985	none	-
HCON_00002168	0.024597716	none	ko04145,map04145
HCON_00002190	0.000205554	down	ko04530,map04530
HCON_00002220	0.045802234	UP	-
HCON_00002230	0.127556102	none	-
HCON_00002290	0.184415058	none	-
HCON_00002360	0.382988795	none	-
HCON_00002500	0.052687702	none	-
HCON_00002520	0.481339629	none	-
HCON_00002530	0.02269395	UP	ko03008,ko04141,ko05134,map03008,map04141,map05134
HCON_00002535	0.000892084	down	-
HCON_00002550	0.013723364	UP	ko04150,ko04310,ko04390,ko04550,ko04916,ko04934,ko05165,ko05166,ko05200,ko05205,ko05217,ko05224,ko05225,ko05226,map04150,map04310,map04390,map04550,map04916,map04934,map05165,map05166,map05200,map05205,map05217,map05224,map05225,map05226
HCON_00002580	0.006136224	down	ko01521,ko04062,ko04068,ko04137,ko04151,ko04152,ko04211,ko04212,ko04213,ko04218,ko04722,ko04910,ko04917,ko04919,ko04922,ko04931,ko04933,ko05165,ko05200,ko05202,ko05213,ko05215,ko05223,map01521,map04062,map04068,map04137,map04151,map04152,map04211,map04212,map04213,map04218,map04722,map04910,map04917,map04919,map04922,map04931,map04933,map05165,map05200,map05202,map05213,map05215,map05223
HCON_00002600	0.000305058	down	-
HCON_00002610	0.212631035	none	-
HCON_00002625	0.180091734	none	ko00564,ko04142,map00564,map04142
HCON_00002630	0.179656739	none	-
HCON_00002702	0.005300121	UP	-
HCON_00002704	0.020097443	UP	-
HCON_00002720	0.038972276	down	-
HCON_00002740	0.151350072	none	-
HCON_00002750	0.014266898	UP	-
HCON_00002780	0.035690293	down	ko04120,map04120
HCON_00002790	0.034312877	down	ko03018,map03018
HCON_00002800	0.000610169	none	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016
HCON_00002810	0.104312007	none	ko04120,ko04630,ko05160,map04120,map04630,map05160
HCON_00002820	0.117200981	none	ko04010,ko04013,ko04022,ko04371,ko04921,ko05202,ko05418,map04010,map04013,map04022,map04371,map04921,map05202,map05418
HCON_00002850	0.103411167	none	-
HCON_00002880	0.105078745	none	ko05012,map05012
HCON_00002890	0.000452255	down	-
HCON_00002900	0.010364187	UP	-
HCON_00002910	0.102953862	none	-
HCON_00002920	0.012215063	UP	-
HCON_00002930	0.003489204	down	-
HCON_00002970	0.134414939	none	-
HCON_00003080	0.009536217	down	ko04114,ko04914,map04114,map04914
HCON_00003100	0.283475959	none	ko02010,ko04142,ko04145,ko04612,ko05168,ko05340,map02010,map04142,map04145,map04612,map05168,map05340
HCON_00003400	0.009605207	down	ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523
HCON_00003415	0.119665995	none	-
HCON_00003420	0.0000625	UP	-
HCON_00003440	0.397209274	none	-
HCON_00003460	0.105638479	none	-
HCON_00003470	0.004157755	UP	ko03013,ko05016,map03013,map05016
HCON_00003534	0.003054515	UP	-
HCON_00003550	0.056645794	none	-
HCON_00003580	0.023256132	UP	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016
HCON_00003590	0.004193855	UP	ko00190,ko01100,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04260,map04714,map04932,map05010,map05012,map05016
HCON_00003630	0.01864255	UP	-
HCON_00003650	0.022208031	down	ko00250,ko04146,map00250,map04146
HCON_00003680	0.022313574	down	-
HCON_00003690	0.163905307	none	-
HCON_00003710	0.001455341	UP	-
HCON_00003750	0.000865	UP	-
HCON_00003760	0.400769048	none	ko04138,ko04144,map04138,map04144
HCON_00003790	0.169093142	none	-
HCON_00003795	0.005918926	UP	ko03010,map03010
HCON_00003800	0.084112772	none	ko03013,map03013
HCON_00003850	0.126972817	none	ko04142,map04142
HCON_00003860	0.079888629	none	ko00230,ko00240,ko01100,ko03030,map00230,map00240,map01100,map03030
HCON_00003880	0.235051624	none	-
HCON_00003930	0.095166159	none	-
HCON_00003940	0.00008	UP	-
HCON_00003980	0.003520173	down	-
HCON_00003985	0.112047897	none	ko04120,map04120
HCON_00003990	0.499310794	none	ko00250,ko04146,map00250,map04146
HCON_00004010	0.009212988	UP	ko03010,map03010
HCON_00004020	0.003101661	UP	ko03010,map03010
HCON_00004030	0.084443417	none	-
HCON_00004130	0.041547156	UP	-
HCON_00004150	0.006521796	UP	-
HCON_00004200	0.158264861	none	-
HCON_00004300	0.001214287	down	-
HCON_00004310	0.346484177	none	-
HCON_00004320	0.186916355	none	-
HCON_00004330	0.00729819	none	ko00521,ko00562,ko01100,ko04070,map00521,map00562,map01100,map04070
HCON_00004350	0.0000479	UP	-
