level1 	level2	pathway_name	pathway_id
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis 	ko00010
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) 	ko00020
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway 	ko00030
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions 	ko00040
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism 	ko00051
Metabolism	Carbohydrate metabolism	Galactose metabolism 	ko00052
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism 	ko00053
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism 	ko00500
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism 	ko00520
Metabolism	Carbohydrate metabolism	Pyruvate metabolism 	ko00620
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism 	ko00630
Metabolism	Carbohydrate metabolism	Propanoate metabolism 	ko00640
Metabolism	Carbohydrate metabolism	Butanoate metabolism 	ko00650
Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism 	ko00660
Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism 	ko00562
Metabolism	Energy metabolism	Oxidative phosphorylation 	ko00190
Metabolism	Energy metabolism	Photosynthesis 	ko00195
Metabolism	Energy metabolism	Photosynthesis - antenna proteins 	ko00196
Metabolism	Energy metabolism	Carbon fixation by Calvin cycle 	ko00710
Metabolism	Energy metabolism	Other carbon fixation pathways 	ko00720
Metabolism	Energy metabolism	Methane metabolism 	ko00680
Metabolism	Energy metabolism	Nitrogen metabolism 	ko00910
Metabolism	Energy metabolism	Sulfur metabolism 	ko00920
Metabolism	Lipid metabolism	Fatty acid biosynthesis 	ko00061
Metabolism	Lipid metabolism	Fatty acid elongation 	ko00062
Metabolism	Lipid metabolism	Fatty acid degradation 	ko00071
Metabolism	Lipid metabolism	Cutin, suberine and wax biosynthesis 	ko00073
Metabolism	Lipid metabolism	Mycolic acid biosynthesis 	ko00074
Metabolism	Lipid metabolism	Steroid biosynthesis 	ko00100
Metabolism	Lipid metabolism	Primary bile acid biosynthesis 	ko00120
Metabolism	Lipid metabolism	Secondary bile acid biosynthesis 	ko00121
Metabolism	Lipid metabolism	Steroid hormone biosynthesis 	ko00140
